bundle_id	module	report	type	local_path	relative_path	bytes	embedded_path	embedded_bytes	status
alignment_qc.qualimap_SNF2KO_08	alignment_qc	qualimap_SNF2KO_08	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_08/index.html	../03_results/collected_html/alignment_qc.qualimap_SNF2KO_08/index.html	11729	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_08/index.embedded.html	422628	embedded
alignment_qc.qualimap_SNF2KO_09	alignment_qc	qualimap_SNF2KO_09	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_09/index.html	../03_results/collected_html/alignment_qc.qualimap_SNF2KO_09/index.html	11733	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_09/index.embedded.html	422468	embedded
alignment_qc.qualimap_SNF2KO_10	alignment_qc	qualimap_SNF2KO_10	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_10/index.html	../03_results/collected_html/alignment_qc.qualimap_SNF2KO_10/index.html	11733	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_10/index.embedded.html	423468	embedded
alignment_qc.qualimap_SNF2KO_11	alignment_qc	qualimap_SNF2KO_11	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_11/index.html	../03_results/collected_html/alignment_qc.qualimap_SNF2KO_11/index.html	11735	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_11/index.embedded.html	424842	embedded
alignment_qc.qualimap_SNF2KO_12	alignment_qc	qualimap_SNF2KO_12	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_12/index.html	../03_results/collected_html/alignment_qc.qualimap_SNF2KO_12/index.html	11730	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_SNF2KO_12/index.embedded.html	419485	embedded
alignment_qc.qualimap_WT_01	alignment_qc	qualimap_WT_01	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_01/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_01/index.html	11730	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_01/index.embedded.html	426101	embedded
alignment_qc.qualimap_WT_02	alignment_qc	qualimap_WT_02	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_02/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_02/index.html	11729	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_02/index.embedded.html	422128	embedded
alignment_qc.qualimap_WT_03	alignment_qc	qualimap_WT_03	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_03/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_03/index.html	11728	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_03/index.embedded.html	428543	embedded
alignment_qc.qualimap_WT_04	alignment_qc	qualimap_WT_04	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_04/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_04/index.html	11731	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_04/index.embedded.html	416914	embedded
alignment_qc.qualimap_WT_05	alignment_qc	qualimap_WT_05	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_05/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_05/index.html	11730	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_05/index.embedded.html	417985	embedded
alignment_qc.qualimap_WT_06	alignment_qc	qualimap_WT_06	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_06/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_06/index.html	11728	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_06/index.embedded.html	415203	embedded
alignment_qc.qualimap_WT_07	alignment_qc	qualimap_WT_07	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_07/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_07/index.html	11728	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_07/index.embedded.html	420079	embedded
alignment_qc.qualimap_WT_08	alignment_qc	qualimap_WT_08	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_08/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_08/index.html	11730	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_08/index.embedded.html	425573	embedded
alignment_qc.qualimap_WT_09	alignment_qc	qualimap_WT_09	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_09/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_09/index.html	11730	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_09/index.embedded.html	429397	embedded
alignment_qc.qualimap_WT_10	alignment_qc	qualimap_WT_10	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_10/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_10/index.html	11729	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_10/index.embedded.html	417920	embedded
alignment_qc.qualimap_WT_11	alignment_qc	qualimap_WT_11	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_11/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_11/index.html	11727	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_11/index.embedded.html	426462	embedded
alignment_qc.qualimap_WT_12	alignment_qc	qualimap_WT_12	Qualimap	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_12/index.html	../03_results/collected_html/alignment_qc.qualimap_WT_12/index.html	11731	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/alignment_qc.qualimap_WT_12/index.embedded.html	421966	embedded
report.interpretation	report	interpretation	HTML	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/report.interpretation/index.html	../03_results/collected_html/report.interpretation/index.html	286962	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/report.interpretation/index.embedded.html	286962	embedded
