step	flow	outdir	status
02_rnaseq_index	rnaseq-index-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/reference	done
03_rnaseq_expression	rnaseq-expression-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/expression	done
04_rnaseq_alignment	rnaseq-alignment-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/alignment	done
05_rnaseq_alignment_qc	rnaseq-alignment-qc-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/alignment_qc	done
06_rnaseq_count	rnaseq-count-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/count	done
07_rnaseq_de	rnaseq-de-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/de	done
08_rnaseq_enrichment	rnaseq-enrichment-flow	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/enrichment	done
