ID	Description	pvalue	p.adjust	ES	NES	size	leadingEdge
GO:0006446	regulation of translational initiation [biological_process]	0.0499168053244592	0.397583245890298	-0.681196480066521	-1.53810636401359	11	YPR041W/YER165W/YOR260W/YKR026C/YAL035W/YCR077C
GO:0006265	DNA topological change [biological_process]	0.0501155351962561	0.397583245890298	0.579320215349461	1.50084035846622	12	YAR007C/YOL006C/YJL173C/YDR386W/YPL024W/YNL088W/YER162C
GO:0042256	cytosolic ribosome assembly [biological_process]	0.0495412844036697	0.397583245890298	-0.844605022736942	-1.46795045601369	4	YPR041W/YAL035W
GO:0034473	U1 snRNA 3'-end processing [biological_process]	0.0495412844036697	0.397583245890298	-0.84458981612447	-1.46792402643641	4	YOR001W/YDR280W/YMR239C/YGR195W
GO:0001112	DNA-templated transcription open complex formation [biological_process]	0.0497037736790294	0.397583245890298	0.909508660303994	1.36783007357961	2	YGR246C/YNL039W
GO:0042790	nucleolar large rRNA transcription by RNA polymerase I [biological_process]	0.0509259259259259	0.401780233271946	-0.629291469042622	-1.53713464567264	17	YPR010C/YOR341W/YNL248C/YJR063W/YOR340C/YPL082C/YJL148W/YJR066W/YML043C
GO:0031494	regulation of mating type switching [biological_process]	0.0523255813953488	0.410554561717352	-0.931186387568457	-1.38993399425993	2	YMR043W
GO:0000162	L-tryptophan biosynthetic process [biological_process]	0.0550660792951542	0.429695963024482	0.754117444675484	1.46045839688681	5	YKL211C/YER090W/YGL026C
GO:0006360	transcription by RNA polymerase I [biological_process]	0.0555555555555556	0.431159420289855	-0.621151850622971	-1.51725246056304	17	YPR010C/YOR341W/YNL248C/YJR063W/YPR110C/YOR340C/YOR224C/YBR154C
GO:0009070	serine family amino acid biosynthetic process [biological_process]	0.0561555075593953	0.43345980970171	0.844999704314997	1.39501961245853	3	YER081W
GO:0015805	S-adenosyl-L-methionine transport [biological_process]	0.0574948665297741	0.439051708045548	0.904913396960057	1.36091915599059	2	YPL274W/YNL003C
GO:0035965	cardiolipin acyl-chain remodeling [biological_process]	0.0574948665297741	0.439051708045548	0.904029692470838	1.35959013337732	2	YGR110W/YPR140W
GO:0030003	intracellular monoatomic cation homeostasis [biological_process]	0.0578778135048232	0.43962509406855	-0.637588621213766	-1.50849700009917	15	YOR153W/YDR011W/YMR105C/YJL165C
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process [biological_process]	0.0602189781021898	0.454518585881551	-0.792926613616269	-1.48062733757338	5	YOL061W/YKL181W/YHL011C/YBL068W/YER099C
GO:0071816	tail-anchored membrane protein insertion into ER membrane [biological_process]	0.060475161987041	0.454518585881551	0.843203111189677	1.39205359645565	3	YGL020C/YER083C/YDL100C
