tx_id	gene_id
YAR064W_mRNA	YAR064W
YAR066W_mRNA	YAR066W
YAR068W_mRNA	YAR068W
YAR069C_mRNA	YAR069C
YAR070C_mRNA	YAR070C
YAR071W_mRNA	YAR071W
YAR073W_mRNA	YAR073W
YAR075W_mRNA	YAR075W
YBL113C_mRNA	YBL113C
YBL113W-A_mRNA	YBL113W-A
YBL112C_mRNA	YBL112C
YBL111C_mRNA	YBL111C
YBL109W_mRNA	YBL109W
YBL108C-A_mRNA	YBL108C-A
YBL108W_mRNA	YBL108W
YBL107W-A_mRNA	YBL107W-A
YBL107C_id002	YBL107C
YBL107C_id001	YBL107C
YBL106C_mRNA	YBL106C
YBL105C_id002	YBL105C
YBL105C_id001	YBL105C
YBL104C_id001	YBL104C
YBL103C_id001	YBL103C
YBL103C_id003	YBL103C
YBL102W_id001	YBL102W
YBL102W_id002	YBL102W
YBL101C_id001	YBL101C
YBL100W-C_id001	YBL100W-C
YBL100W-A	agat-transposable_element_gene-5
YBL099W_id002	YBL099W
YBL099W_id001	YBL099W
YBL100C_mRNA	YBL100C
YBL098W_mRNA	YBL098W
YBL097W_mRNA	YBL097W
YBL095W_id001	YBL095W
YBL095W_id003	YBL095W
YBL096C_id001	YBL096C
YBL094C_mRNA	YBL094C
YBL093C_id002	YBL093C
YBL093C_id001	YBL093C
YBL092W_id001	YBL092W
YBL092W_id002	YBL092W
YBL091C-A_id001	YBL091C-A
YBL091C-A_id002	YBL091C-A
YBL091C_id001	YBL091C
YBL091C_id002	YBL091C
YBL090W_id003	YBL090W
YBL090W_id001	YBL090W
YBL089W_id001	YBL089W
YBL089W_id004	YBL089W
YBL088C_mRNA	YBL088C
YBL087C_id001	YBL087C
YBL087C_id002	YBL087C
YBL086C_id001	YBL086C
YBL085W_id002	YBL085W
YBL085W_id001	YBL085W
YBL084C_mRNA	YBL084C
YBL083C_id002	YBL083C
YBL083C_id001	YBL083C
YBL082C_id003	YBL082C
YBL082C_id001	YBL082C
YBL081W_id001	YBL081W
YBL081W_id002	YBL081W
YBL080C_id002	YBL080C
YBL080C_id001	YBL080C
YBL079W_mRNA	YBL079W
YBL078C_id001	YBL078C
YBL078C_id016	YBL078C
YBL077W_mRNA	YBL077W
YBL076C_id001	YBL076C
YBL076C_id002	YBL076C
YBL075C_id001	YBL075C
YBL075C_id002	YBL075C
YBL074C_id001	YBL074C
YBL074C_id002	YBL074C
YBL073W_mRNA	YBL073W
YBL072C_id002	YBL072C
YBL072C_id001	YBL072C
YBL071C-B_mRNA	YBL071C-B
YBL071C_id001	YBL071C
YBL071W-A_id001	YBL071W-A
YBL071W-A_id003	YBL071W-A
YBL070C_mRNA	YBL070C
