gene_id	score
YER081W	28.9127838926898
YEL071W	18.0328621756296
YKR039W	12.5149315873217
YMR056C	11.4807415194237
YOL110W	11.0264618028346
YEL044W	10.7869353078914
YBR070C	10.574301642994
YOR383C	10.5172653844963
YFR030W	9.6003285715114
YER042W	9.33817757782362
YOR348C	9.30394338737161
YKL104C	9.18044983691385
YCR005C	9.01118882410022
YLL060C	8.88405645317443
YGR051C	8.71276154720011
YLL061W	8.69101462834115
YBL003C	8.58801189848585
YPL025C	8.5325573540369
YOR227W	8.51463141431631
YBR162C	8.45673866429413
YDR452W	8.44100313230593
YPL134C	8.37235407534424
YHR146W	8.32400366060774
YFL054C	8.25710238640382
YDR111C	8.20716446147061
YBR230W-A	7.9972258406586
YOR222W	7.89068870106658
YOR127W	7.83564135263223
YDL137W	7.75802815822669
YBL085W	7.68536662302282
YKR076W	7.64101122726097
YLR348C	7.62361880054528
YGL027C	7.49728669380875
YLR151C	7.47990921812663
YGL062W	7.46600022336181
YLL043W	7.33308810064626
YPR159W	7.24938978764082
YJL115W	7.22212720728896
YLR250W	7.21478986096375
YLR192C	7.17886635246255
YPL232W	7.15673184727023
YLR108C	7.09614806664254
YGL035C	7.06065264127482
YMR042W	6.97002351642421
YER004W	6.9240730931451
YHL020C	6.91619551578669
YGR161W-C	6.8552637656655
YLL050C	6.81089968926994
YPR023C	6.74798637828604
YPR015C	6.67910648916228
YER047C	6.59168541974193
YKL045W	6.56754260982059
YMR280C	6.54287710161942
YPR075C	6.52585331233853
YLR050C	6.501554243795
YPR167C	6.44134024524518
YIR039C	6.43433051231047
YIL046W	6.40103847976321
YIL117C	6.35810929136688
YLR092W	6.33423987660766
YER080W	6.33178416813602
YKL161C	6.32473968165112
YDR309C	6.24175428120207
YIL053W	6.23797207186549
YAR007C	6.19957781434105
YFL041W	6.18564562055558
YPL015C	6.18122937971285
YHR162W	6.14993966797033
YGR161C	6.13516867006537
YOR327C	6.09380084034881
YLR417W	6.01400660878821
YIR018C-A	6.00352930859049
YOR215C	5.97575316047723
YGR189C	5.97566559393331
YPR064W	5.95828971204645
YFL008W	5.94240020215056
YKR069W	5.92430434651145
YPR036W-A	5.89274016214763
YGL163C	5.88619084805692
YGR178C	5.88128509116054
YOR100C	5.87529048517622
YDR456W	5.86726587838476
YER079W	5.85893729416025
YPR065W	5.85186034906439
YDR092W	5.85145926462652
YLR356W	5.83964154043265
YML069W	5.81272786676766
YJR137C	5.79400117788295
YGR050C	5.7662880406681
YPR139C	5.7352420865347
YGR246C	5.72033098193948
YML055W	5.70274649392581
YNL259C	5.70158819320933
YIR042C	5.69540217061395
YCL049C	5.68666440830123
YBR241C	5.67308449842516
YDR216W	5.66731109111831
YMR191W	5.6633567263622
YGL252C	5.65740793404496
YGR009C	5.65547146104425
YJR078W	5.63580811480422
YIL122W	5.56033512560059
YBL044W	5.55116748967798
YDR260C	5.53469828987383
YKR095W	5.52352556024163
YER145C	5.51738745123776
YJL194W	5.51627993665107
YJR052W	5.48439713010431
YMR256C	5.47956342462419
YOR376W	5.46757002516616
YOR328W	5.46743957851635
YLL023C	5.44748420014098
YIL016W	5.434574115436
YGR232W	5.42847533409895
YGR244C	5.41544272779116
YDR359C	5.40883696265807
YLR049C	5.36924105950817
YPR061C	5.35532907163147
YPL091W	5.35491469580972
YLR350W	5.34187081123492
YBR089C-A	5.3385484213629
YCR025C	5.33445496027755
YEL066W	5.31794026962616
YKL067W	5.31509803077533
YKL023W	5.31390224725147
YDR086C	5.31210955654584
YPR013C	5.30844577504555
YBR162W-A	5.30064555256372
YNL193W	5.26337511007105
YPR019W	5.24439583537095
YGR087C	5.2406857006144
YOL047C	5.22147246881549
YPR018W	5.21923593343835
YDR054C	5.18472552922088
YBR035C	5.18000922085322
YMR244C-A	5.17855109375039
YML001W	5.17099501935545
YHR007C-A	5.1677147111038
YDL010W	5.16453699868985
YLR213C	5.13450880514146
YGR067C	5.12432670085728
YKL103C	5.12185769246252
YJR025C	5.11029146613373
YCR004C	5.096027444838
YPR115W	5.07720928596366
YDR132C	5.06440803635322
YLR332W	5.05391747170626
YNL279W	5.0350866255682
YNL278W	5.00662543294648
YLL021W	5.00292369078394
YOR316C	4.98792293834149
YDR088C	4.97423289079198
YBR011C	4.96908198775351
YBR207W	4.94017725614766
YDL035C	4.90567782912448
YBL030C	4.87322281142896
YMR302C	4.86876945976183
YOL048C	4.85674180952048
YIL026C	4.84778130534734
YER021W	4.84402104167074
YDR510W	4.81197194891065
YDL003W	4.81079181481074
YDL157C	4.78926874301797
YCR002C	4.78498315977799
YDR507C	4.7822780426752
YHR075C	4.78191315482755
YLR154C	4.7808148706499
YPL020C	4.77465258368545
YLR001C	4.75066560881846
YDR298C	4.73982389651166
YKL001C	4.72992839962306
YNL133C	4.72976636709517
YOR126C	4.72686644309116
YDR059C	4.70383507359531
YKL063C	4.70367107240134
YGR110W	4.69060081228117
YER136W	4.64452533379803
YIL024C	4.64032700202768
YER074W-A	4.62732146511454
YDR374W-A	4.61306846404659
YGL156W	4.6039318337165
YLR079W	4.60011247815292
YLR211C	4.59988349532882
YLR299W	4.58874646140676
YOL108C	4.58602895025672
YBR199W	4.58337177312417
YBL001C	4.57758003594604
YDL021W	4.56561762721967
YDR503C	4.54680978002264
YDR032C	4.53918231944738
YIL014C-A	4.53911188433168
YKR013W	4.53302720468474
YOR231W	4.51426896770279
YFR024C-A	4.51364265914519
YKR077W	4.50881520038244
YOL006C	4.50869540421465
YKL108W	4.50859831479885
YER048C	4.50844301960049
YPL062W	4.50075801992701
YCL063W	4.48731210695175
YDR018C	4.46548545095625
YBR059C	4.46541381350632
YFR031C	4.46204011077759
YBR171W	4.45961637083579
YLR378C	4.45488870844915
YBR009C	4.4530892550667
YDL169C	4.45213131978324
YPR098C	4.44840316851982
YMR174C	4.42986679835983
YDR463W	4.42394171141681
YLR112W	4.42246012681321
YPL009C	4.40617402028197
YDR528W	4.40050498155946
YHR006W	4.38616524354532
YPR091C	4.38278520514296
YCL027W	4.37204737609051
YCR024C	4.35806458219285
YPL255W	4.35268801822414
YNL225C	4.35266481240639
YJL170C	4.3524608387198
YLR038C	4.32730771296289
YKR098C	4.32713277261417
agat-gene-3	4.31516192483661
YGR225W	4.31362977005227
YJR054W	4.30093322534046
YIR027C	4.29551131727357
YBR203W	4.29396313387163
YML115C	4.28062924695174
YDL121C	4.25632908662701
YDR100W	4.24724651172049
YKL162C	4.24585869240092
YIL140W	4.24220780167256
YOR105W	4.23868599444157
YDR150W	4.23862604891504
YLL056C	4.2362043997349
YBL050W	4.23518759059319
YDR191W	4.23506121700051
YAL054C	4.22731307663345
YDR052C	4.22241974653412
YKL217W	4.21374623527907
YOL084W	4.20200669630535
YNL156C	4.19382891819934
YJL055W	4.19338845171822
YKR096W	4.18866348158886
YCL026C-B	4.18778010416375
YGL158W	4.18535577158145
YLR137W	4.18005857646743
YPL222W	4.17924275748803
YJL127C-B	4.17123121019491
YPR120C	4.16226604309294
YDR459C	4.16110573209823
YOL114C	4.16101495083619
YHR180W	4.14677290455475
