gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YMR126C	26.240155	11.893136	28.524032	11.697213	21.137833	27.221773	23.966	26.57854	17.009429	36.495018	19.139317	25.681929	18.595056	26.483198	16.075789	22.484328	28.443669	37.46402	35.089889	15.800806	14.401525	11.274646	7.535994	13.67843
YMR127C	21.23384	8.32228	17.611615	7.366664	6.826755	8.403781	10.141495	9.032152	12.611549	1.678619	9.131475	10.47295	10.646167	11.44608	11.472332	19.969466	20.687345	13.780147	15.784921	8.292519	13.54261	10.143629	4.746014	15.688093
YMR128W	10.31167	6.14958	14.054844	10.886893	12.611229	12.916389	8.992621	12.004428	11.604269	12.403814	12.955234	13.383999	9.440122	17.399	13.069385	24.146231	16.676173	25.359064	24.364687	9.804141	13.009147	15.990246	8.416729	15.504358
YMR129W	20.297185	11.525765	20.488299	11.902689	16.036024	19.043731	14.947349	20.720955	15.822496	19.483409	22.711559	25.027433	19.123619	24.853347	18.842396	21.622188	20.789093	25.191995	19.872259	10.54163	13.597773	18.262663	9.64024	17.995283
YMR130W	52.57238	41.065613	40.727752	33.576882	32.832722	29.626772	44.241285	27.583055	21.954349	22.817195	45.40648	53.85407	25.401405	35.699956	30.281106	44.933941	49.761695	45.271897	27.29746	28.163132	20.532831	35.372652	17.421266	27.886415
YMR131C	59.86744	39.436448	74.898127	48.240753	63.090525	54.943858	50.527053	68.422244	74.112986	87.338883	76.228844	104.767546	76.717115	89.42485	98.844632	136.252657	83.694433	117.823623	94.152251	71.707868	69.359219	61.112884	68.264012	78.445466
YMR132C	2.718028	8.212826	13.034992	14.55451	17.684546	8.33366	5.004057	4.624626	11.774754	7.454439	6.789325	13.134741	10.506149	13.864316	15.10468	22.745935	8.3517	34.396466	10.384879	4.910074	10.895992	10.01022	6.119461	10.789481
YMR133W	15.411768	5.821049	11.086656	9.017119	14.324994	24.687828	12.413633	4.916731	17.163017	14.089394	9.580564	13.30243	9.308124	5.146715	8.92152	5.714065	15.785276	3.750672	5.52041	3.480139	12.43256	5.321248	4.979424	5.6933
YMR134W	57.017722	50.13954	35.400908	47.763204	39.493224	48.549344	50.530352	59.538849	82.34621	44.355005	88.914747	51.554063	31.527831	26.430212	28.715445	38.553239	48.379924	49.100811	20.003745	53.477673	15.271552	33.427982	20.113533	35.63261
YMR135C	154.37808	99.704945	154.124587	97.043906	187.265001	135.520781	174.766839	122.913467	115.730887	143.975315	156.268551	136.295374	154.541697	99.549217	87.161417	131.911898	132.702492	116.882946	87.61727	116.716465	92.810565	105.392309	110.912639	143.461712
YMR135W-A	55.968528	5.314558	13.495363	23.185559	38.630033	38.617657	32.386164	29.923562	31.158431	38.58516	0	20.816831	12.996977	6.26835	6.514802	0	7.204978	6.84817	6.71909	0	25.189813	38.564616	0	13.859044
YMR136W	103.439356	64.926602	77.697657	51.66622	90.353356	90.121242	86.041379	76.336618	59.181489	51.269616	76.852502	94.660526	87.914445	112.350114	96.960172	128.145239	137.031308	132.607034	88.090079	91.196639	68.938052	100.111373	49.392494	92.590504
YMR137C	14.574521	6.291222	13.979162	6.187543	9.676276	10.482173	10.411169	9.742079	5.564788	5.710279	10.354398	11.296123	10.059952	8.240571	5.713814	8.234129	12.795204	10.008869	8.838906	6.58216	6.718377	6.70956	2.690809	10.255259
YMR138W	22.752688	0	0	14.584495	0	7.337009	5.672604	24.355511	17.483153	0	30.81011	21.828604	28.662246	44.776106	0	0	38.72963	0	0	0	13.22397	22.780079	14.705497	23.382322
YMR139W	90.810662	64.38308	67.590424	41.184306	85.739664	61.801914	74.38916	62.914825	72.093578	86.699035	75.142759	56.167232	32.232067	57.158634	39.165655	57.307955	79.35674	61.867802	53.985594	54.490015	26.228399	51.009316	50.134641	73.206359
YMR140W	35.729052	18.085018	11.630993	11.798327	26.804884	27.983074	23.936469	17.050988	6.23608	17.616637	34.209188	15.100991	21.827451	17.279944	6.216446	21.293619	27.123856	28.748889	9.82254	35.013031	15.665887	23.543361	13.120691	13.027025
YMR141C	28.850336	17.525732	42.82807	26.060824	34.013638	22.574988	44.267928	40.237205	35.138002	26.540408	39.183374	33.473306	14.714815	27.188827	23.164747	28.373387	35.167231	0	29.974241	0	17.956021	13.841894	20.262998	42.448628
YMR141W-A	22.446634	0	43.05941	0	20.86379	61.640314	51.657052	28.644101	29.99671	0	11.162972	33.213371	21.691066	39.978602	0	11.096414	57.476585	32.776234	21.440692	10.137371	0	0	0	11.056091
YMR142C	1726.730649	1152.006739	1583.300171	945.922706	1318.315232	1600.163107	1358.980203	1284.216873	1402.231852	1270.449291	1482.941773	1665.160885	1423.570962	1763.248092	1564.530358	1813.068845	1674.009467	2200.442606	2095.970139	1471.49476	1439.586556	1336.087782	1046.602381	1784.98981
