status	sample_id	count
Unassigned_Chimera	WT_08	0
Unassigned_Chimera	WT_09	0
Unassigned_Chimera	WT_10	0
Unassigned_Chimera	WT_11	0
Unassigned_Chimera	WT_12	0
Unassigned_FragmentLength	SNF2KO_01	0
Unassigned_FragmentLength	SNF2KO_02	0
Unassigned_FragmentLength	SNF2KO_03	0
Unassigned_FragmentLength	SNF2KO_04	0
Unassigned_FragmentLength	SNF2KO_05	0
Unassigned_FragmentLength	SNF2KO_06	0
Unassigned_FragmentLength	SNF2KO_07	0
Unassigned_FragmentLength	SNF2KO_08	0
Unassigned_FragmentLength	SNF2KO_09	0
Unassigned_FragmentLength	SNF2KO_10	0
Unassigned_FragmentLength	SNF2KO_11	0
Unassigned_FragmentLength	SNF2KO_12	0
Unassigned_FragmentLength	WT_01	0
Unassigned_FragmentLength	WT_02	0
Unassigned_FragmentLength	WT_03	0
Unassigned_FragmentLength	WT_04	0
Unassigned_FragmentLength	WT_05	0
Unassigned_FragmentLength	WT_06	0
Unassigned_FragmentLength	WT_07	0
Unassigned_FragmentLength	WT_08	0
Unassigned_FragmentLength	WT_09	0
Unassigned_FragmentLength	WT_10	0
Unassigned_FragmentLength	WT_11	0
Unassigned_FragmentLength	WT_12	0
Unassigned_Duplicate	SNF2KO_01	0
Unassigned_Duplicate	SNF2KO_02	0
Unassigned_Duplicate	SNF2KO_03	0
Unassigned_Duplicate	SNF2KO_04	0
Unassigned_Duplicate	SNF2KO_05	0
Unassigned_Duplicate	SNF2KO_06	0
Unassigned_Duplicate	SNF2KO_07	0
Unassigned_Duplicate	SNF2KO_08	0
Unassigned_Duplicate	SNF2KO_09	0
Unassigned_Duplicate	SNF2KO_10	0
Unassigned_Duplicate	SNF2KO_11	0
Unassigned_Duplicate	SNF2KO_12	0
Unassigned_Duplicate	WT_01	0
Unassigned_Duplicate	WT_02	0
Unassigned_Duplicate	WT_03	0
Unassigned_Duplicate	WT_04	0
Unassigned_Duplicate	WT_05	0
Unassigned_Duplicate	WT_06	0
Unassigned_Duplicate	WT_07	0
Unassigned_Duplicate	WT_08	0
Unassigned_Duplicate	WT_09	0
Unassigned_Duplicate	WT_10	0
Unassigned_Duplicate	WT_11	0
Unassigned_Duplicate	WT_12	0
Unassigned_MultiMapping	SNF2KO_01	97939
Unassigned_MultiMapping	SNF2KO_02	169483
Unassigned_MultiMapping	SNF2KO_03	95940
Unassigned_MultiMapping	SNF2KO_04	240457
Unassigned_MultiMapping	SNF2KO_05	114206
Unassigned_MultiMapping	SNF2KO_06	103019
Unassigned_MultiMapping	SNF2KO_07	103508
Unassigned_MultiMapping	SNF2KO_08	140851
Unassigned_MultiMapping	SNF2KO_09	103627
Unassigned_MultiMapping	SNF2KO_10	101156
Unassigned_MultiMapping	SNF2KO_11	101584
Unassigned_MultiMapping	SNF2KO_12	93965
Unassigned_MultiMapping	WT_01	133511
Unassigned_MultiMapping	WT_02	144412
Unassigned_MultiMapping	WT_03	138625
Unassigned_MultiMapping	WT_04	132498
Unassigned_MultiMapping	WT_05	139442
Unassigned_MultiMapping	WT_06	121594
Unassigned_MultiMapping	WT_07	132274
Unassigned_MultiMapping	WT_08	142936
Unassigned_MultiMapping	WT_09	138350
Unassigned_MultiMapping	WT_10	195767
Unassigned_MultiMapping	WT_11	171698
Unassigned_MultiMapping	WT_12	138605
Unassigned_Secondary	SNF2KO_01	0
Unassigned_Secondary	SNF2KO_02	0
Unassigned_Secondary	SNF2KO_03	0
Unassigned_Secondary	SNF2KO_04	0
Unassigned_Secondary	SNF2KO_05	0
Unassigned_Secondary	SNF2KO_06	0
Unassigned_Secondary	SNF2KO_07	0
Unassigned_Secondary	SNF2KO_08	0
Unassigned_Secondary	SNF2KO_09	0
Unassigned_Secondary	SNF2KO_10	0
Unassigned_Secondary	SNF2KO_11	0
Unassigned_Secondary	SNF2KO_12	0
Unassigned_Secondary	WT_01	0
Unassigned_Secondary	WT_02	0
Unassigned_Secondary	WT_03	0
Unassigned_Secondary	WT_04	0
Unassigned_Secondary	WT_05	0
Unassigned_Secondary	WT_06	0
Unassigned_Secondary	WT_07	0
Unassigned_Secondary	WT_08	0
Unassigned_Secondary	WT_09	0
Unassigned_Secondary	WT_10	0
Unassigned_Secondary	WT_11	0
Unassigned_Secondary	WT_12	0
Unassigned_NonSplit	SNF2KO_01	0
Unassigned_NonSplit	SNF2KO_02	0
Unassigned_NonSplit	SNF2KO_03	0
Unassigned_NonSplit	SNF2KO_04	0
Unassigned_NonSplit	SNF2KO_05	0
Unassigned_NonSplit	SNF2KO_06	0
Unassigned_NonSplit	SNF2KO_07	0
Unassigned_NonSplit	SNF2KO_08	0
Unassigned_NonSplit	SNF2KO_09	0
Unassigned_NonSplit	SNF2KO_10	0
Unassigned_NonSplit	SNF2KO_11	0
Unassigned_NonSplit	SNF2KO_12	0
Unassigned_NonSplit	WT_01	0
Unassigned_NonSplit	WT_02	0
Unassigned_NonSplit	WT_03	0
Unassigned_NonSplit	WT_04	0
Unassigned_NonSplit	WT_05	0
Unassigned_NonSplit	WT_06	0
Unassigned_NonSplit	WT_07	0
Unassigned_NonSplit	WT_08	0
Unassigned_NonSplit	WT_09	0
Unassigned_NonSplit	WT_10	0
Unassigned_NonSplit	WT_11	0
Unassigned_NonSplit	WT_12	0
Unassigned_NoFeatures	SNF2KO_01	4373
Unassigned_NoFeatures	SNF2KO_02	3564
Unassigned_NoFeatures	SNF2KO_03	3549
Unassigned_NoFeatures	SNF2KO_04	3465
Unassigned_NoFeatures	SNF2KO_05	3813
Unassigned_NoFeatures	SNF2KO_06	3908
Unassigned_NoFeatures	SNF2KO_07	4032
Unassigned_NoFeatures	SNF2KO_08	3573
Unassigned_NoFeatures	SNF2KO_09	3510
Unassigned_NoFeatures	SNF2KO_10	3159
Unassigned_NoFeatures	SNF2KO_11	3372
Unassigned_NoFeatures	SNF2KO_12	3750
Unassigned_NoFeatures	WT_01	2090
Unassigned_NoFeatures	WT_02	2915
Unassigned_NoFeatures	WT_03	2303
Unassigned_NoFeatures	WT_04	2807
Unassigned_NoFeatures	WT_05	3233
Unassigned_NoFeatures	WT_06	3228
Unassigned_NoFeatures	WT_07	2863
Unassigned_NoFeatures	WT_08	2590
Unassigned_NoFeatures	WT_09	1751
Unassigned_NoFeatures	WT_10	2418
Unassigned_NoFeatures	WT_11	1762
Unassigned_NoFeatures	WT_12	2646
Unassigned_Overlapping_Length	SNF2KO_01	0
Unassigned_Overlapping_Length	SNF2KO_02	0
Unassigned_Overlapping_Length	SNF2KO_03	0
Unassigned_Overlapping_Length	SNF2KO_04	0
Unassigned_Overlapping_Length	SNF2KO_05	0
Unassigned_Overlapping_Length	SNF2KO_06	0
Unassigned_Overlapping_Length	SNF2KO_07	0
Unassigned_Overlapping_Length	SNF2KO_08	0
Unassigned_Overlapping_Length	SNF2KO_09	0
Unassigned_Overlapping_Length	SNF2KO_10	0
Unassigned_Overlapping_Length	SNF2KO_11	0
Unassigned_Overlapping_Length	SNF2KO_12	0
Unassigned_Overlapping_Length	WT_01	0
Unassigned_Overlapping_Length	WT_02	0
Unassigned_Overlapping_Length	WT_03	0
Unassigned_Overlapping_Length	WT_04	0
Unassigned_Overlapping_Length	WT_05	0
Unassigned_Overlapping_Length	WT_06	0
Unassigned_Overlapping_Length	WT_07	0
Unassigned_Overlapping_Length	WT_08	0
Unassigned_Overlapping_Length	WT_09	0
Unassigned_Overlapping_Length	WT_10	0
Unassigned_Overlapping_Length	WT_11	0
Unassigned_Overlapping_Length	WT_12	0
Unassigned_Ambiguity	SNF2KO_01	84387
Unassigned_Ambiguity	SNF2KO_02	80630
Unassigned_Ambiguity	SNF2KO_03	84324
Unassigned_Ambiguity	SNF2KO_04	71020
Unassigned_Ambiguity	SNF2KO_05	81314
Unassigned_Ambiguity	SNF2KO_06	84864
Unassigned_Ambiguity	SNF2KO_07	86462
Unassigned_Ambiguity	SNF2KO_08	80990
Unassigned_Ambiguity	SNF2KO_09	85056
Unassigned_Ambiguity	SNF2KO_10	86737
Unassigned_Ambiguity	SNF2KO_11	85089
Unassigned_Ambiguity	SNF2KO_12	85228
Unassigned_Ambiguity	WT_01	85290
Unassigned_Ambiguity	WT_02	85039
Unassigned_Ambiguity	WT_03	83861
Unassigned_Ambiguity	WT_04	84170
Unassigned_Ambiguity	WT_05	82755
Unassigned_Ambiguity	WT_06	84889
Unassigned_Ambiguity	WT_07	85892
Unassigned_Ambiguity	WT_08	90054
Unassigned_Ambiguity	WT_09	92826
Unassigned_Ambiguity	WT_10	80025
Unassigned_Ambiguity	WT_11	84902
Unassigned_Ambiguity	WT_12	85451
