#Transcript position	Transcript coverage profile
0.0	27.066871528453287
1.0	37.01247631327438
2.0	45.947283048124305
3.0	56.29695511513956
4.0	70.20538915871096
5.0	84.24470382619124
6.0	101.2341564941985
7.0	118.724020759922
8.0	133.33123444282478
9.0	146.0641761731987
10.0	155.15048253435216
11.0	160.56694764995342
12.0	165.4615133875557
13.0	175.81057266419748
14.0	181.0671671174673
15.0	184.85508212546605
16.0	191.1009776883939
17.0	194.11868515912045
18.0	196.2042769920929
19.0	201.911187171033
20.0	204.79172665050564
21.0	199.61007613494496
22.0	204.61541101637766
23.0	213.49071753954178
24.0	218.29483957989837
25.0	212.63825880082715
26.0	203.53880775714066
27.0	195.80061278481338
28.0	191.77579043573354
29.0	199.4974265041257
30.0	214.00325228119345
31.0	228.67521573035265
32.0	235.18723138757736
33.0	237.668230178043
34.0	233.75380182341632
35.0	229.4330964308306
36.0	229.91236317333627
37.0	231.29450864013953
38.0	241.41992964032485
39.0	251.1599666675491
40.0	260.2261093265531
41.0	259.8492843038594
42.0	256.5394584029273
43.0	256.6093525841826
44.0	258.55983187533246
45.0	251.86278417080896
46.0	242.85103283338293
47.0	236.8521229459622
48.0	239.50367251320634
49.0	236.81116734464283
50.0	237.51413316599968
51.0	237.14450363130368
52.0	236.07763452611414
53.0	235.86767173792842
54.0	234.45470383037122
55.0	244.94511290417418
56.0	253.88335476453602
57.0	255.68499179570634
58.0	251.48217527111234
59.0	250.3061955785203
60.0	248.35349584539375
61.0	251.0098690293129
62.0	245.97660106601003
63.0	237.07770798617685
64.0	229.59230607699098
65.0	222.96627046273346
66.0	218.2983203482343
67.0	213.63785328004772
68.0	211.39096106470635
69.0	211.83891532333237
70.0	212.75124450821437
71.0	214.10306881151334
72.0	213.29940195442973
73.0	212.84159324749842
74.0	208.64871607727875
75.0	208.67288137185975
76.0	206.49039352752348
77.0	203.53945234915165
78.0	197.64108503788967
79.0	189.96577508800343
80.0	179.30802687343336
81.0	170.12220647226738
82.0	166.43240454669427
83.0	158.7673324119137
84.0	151.92961844418798
85.0	142.1114487679377
86.0	134.9499984078532
87.0	123.29077727811644
88.0	111.29145586615451
89.0	104.17753435298185
90.0	92.93312215834366
91.0	77.37792394952683
92.0	62.74793256324069
93.0	48.37802133385107
94.0	36.41185649316257
95.0	26.741908729706697
96.0	17.01574872000241
97.0	8.969279800699528
98.0	4.36029679709202
99.0	1.295448254079406
