#Transcript position	Transcript coverage profile
0.0	50.034421762089366
1.0	75.30663534824114
2.0	97.87280700777431
3.0	120.2573305770581
4.0	143.95381330865553
5.0	169.12539412742908
6.0	197.20768020467182
7.0	223.60017150062785
8.0	245.52686242167576
9.0	265.63708337144425
10.0	281.0451550754261
11.0	292.2198162136436
12.0	302.6911388028308
13.0	317.66627775811645
14.0	328.8250958330484
15.0	337.62653402161055
16.0	346.2889321666989
17.0	351.32874438303173
18.0	355.9394497061633
19.0	363.2078222501526
20.0	366.43135195461997
21.0	364.57851238193393
22.0	371.5522298828421
23.0	382.61273350330106
24.0	387.70840584090683
25.0	382.7517245760345
26.0	375.35247304119474
27.0	369.122152560418
28.0	365.40074741904976
29.0	373.785022910895
30.0	390.67472498400565
31.0	407.0858725782794
32.0	415.2755024338114
33.0	417.2278247815283
34.0	411.51029134181243
35.0	407.0723959503631
36.0	407.949875092609
37.0	407.9249129109723
38.0	417.16065096031906
39.0	427.47052619280544
40.0	437.0093134276293
41.0	437.23893028914176
42.0	432.86054881165165
43.0	433.0287114621988
44.0	436.10159251431196
45.0	430.2456236648329
46.0	422.27197990772333
47.0	416.4414990284299
48.0	417.74455712014054
49.0	412.6035121073731
50.0	411.81848378972944
51.0	411.19458115804014
52.0	409.74608723718495
53.0	409.26882040022207
54.0	408.92876644258007
55.0	420.77923104320257
56.0	430.8295742529031
57.0	432.8306199791482
58.0	429.44388273037487
59.0	429.8122675757625
60.0	427.4166046545883
61.0	429.6690241977836
62.0	422.75543386277803
63.0	414.39972338724556
64.0	407.2304355909093
65.0	402.5153691603752
66.0	398.8071477995892
67.0	391.1832401511603
68.0	388.5054005373989
69.0	388.2643315580853
70.0	387.64760159762614
71.0	387.34976263154596
72.0	385.7894738470492
73.0	384.73875553145035
74.0	378.57109379514884
75.0	376.64798568431354
76.0	372.4128968504702
77.0	364.61297679874957
78.0	356.089185975915
79.0	345.4308924505949
80.0	332.0440018012861
81.0	320.10100141180857
82.0	313.34548941165053
83.0	303.3105487851272
84.0	290.56500892780383
85.0	273.63839276849006
86.0	260.3569411117789
87.0	243.48514699812077
88.0	222.14383015438176
89.0	205.86693196872304
90.0	185.15945758766873
91.0	159.58892790971015
92.0	135.1620701769799
93.0	111.43889290397614
94.0	87.48378868330998
95.0	65.95876235666996
96.0	46.549526590791444
97.0	28.145753165425575
98.0	12.05981972833391
99.0	2.674547457553628
