#Transcript position	Transcript coverage profile
0.0	39.63883716918535
1.0	50.16396690659894
2.0	61.92922878531605
3.0	73.10309699933059
4.0	88.75313120459174
5.0	103.29096301335954
6.0	119.09413256279777
7.0	132.54343272529812
8.0	143.29194826589762
9.0	150.8338427452044
10.0	155.05701052467796
11.0	158.6807322133003
12.0	163.08257771630124
13.0	170.5534187773877
14.0	172.38877574826623
15.0	177.57654571358222
16.0	182.41518945823353
17.0	185.15854658210148
18.0	187.1996064285079
19.0	193.15356517486853
20.0	196.52192327503332
21.0	193.02763375139563
22.0	200.0794687235613
23.0	209.87642880813777
24.0	212.68990379003398
25.0	208.73594015997756
26.0	203.13288405215428
27.0	195.937842651356
28.0	191.18637087192647
29.0	195.15890098964323
30.0	205.65951493186734
31.0	220.97543702135926
32.0	232.09141375078113
33.0	235.71440250852535
34.0	234.17565704291417
35.0	232.47105616353392
36.0	233.5912695353
37.0	238.56633978580996
38.0	250.73224637877928
39.0	261.8087031556427
40.0	268.92114739076993
41.0	268.14232815582733
42.0	262.5773675752501
43.0	260.3057340005551
44.0	259.49279973008214
45.0	250.5568683306774
46.0	241.62124466557353
47.0	234.0103111609421
48.0	235.31256063303374
49.0	236.49871215105998
50.0	239.54027219898927
51.0	240.91957762359598
52.0	241.2930208318544
53.0	242.51599284701504
54.0	242.5991799711683
55.0	247.25652883586199
56.0	252.00090375016333
57.0	252.7714545126304
58.0	249.61626123411574
59.0	251.4479422273593
60.0	251.60886258650254
61.0	255.69500554297656
62.0	251.895238016273
63.0	242.68459231338537
64.0	234.229943428205
65.0	228.6009862626048
66.0	226.93815432401684
67.0	223.49559972801092
68.0	219.42676961355636
69.0	217.1754714089574
70.0	216.9271739925047
71.0	217.5583272029832
72.0	217.81490690950218
73.0	218.52927810183456
74.0	218.21057392806054
75.0	217.43340753109698
76.0	213.5967979384113
77.0	206.96319588553013
78.0	197.69701685325398
79.0	188.4591466329252
80.0	180.94540287806348
81.0	175.49402746540525
82.0	173.1850448968199
83.0	166.73770756303423
84.0	158.0522010760125
85.0	150.44490763162153
86.0	146.6176284164069
87.0	140.4275539374558
88.0	130.88547511245395
89.0	123.61606950786366
90.0	108.54566873354894
91.0	91.36198425754695
92.0	76.93602386093274
93.0	63.503697961972996
94.0	49.934115150920626
95.0	36.45369764750572
96.0	23.75411555647859
97.0	12.842528262591232
98.0	6.306132032872482
99.0	1.348147251853902
