#Transcript position	Transcript coverage profile
0.0	55.90848207526186
1.0	84.96015240798879
2.0	114.09616628341665
3.0	137.90746763671478
4.0	162.9499193824421
5.0	185.7615520386411
6.0	212.60867925615491
7.0	239.2803804371357
8.0	261.79730520546593
9.0	278.97160793119775
10.0	289.6686055625701
11.0	299.4343083385744
12.0	310.6118471859075
13.0	321.6617145200696
14.0	327.4876842630215
15.0	337.20964002373296
16.0	347.13290697933894
17.0	351.21390371364475
18.0	355.3278256189454
19.0	363.92897933388906
20.0	367.2194785323691
21.0	364.20093159178936
22.0	369.9123225866182
23.0	381.6167350768057
24.0	385.84733279460795
25.0	384.7056155827132
26.0	384.56101280495676
27.0	380.16546799999236
28.0	376.53190024452795
29.0	380.6218406189263
30.0	394.44305338094557
31.0	406.47167479897183
32.0	413.6258502419178
33.0	416.67442274993005
34.0	418.45267728488756
35.0	419.5094085259732
36.0	422.44175597813245
37.0	426.59087575651256
38.0	437.47381201024996
39.0	445.79243694404147
40.0	452.50220882784066
41.0	449.84848745299837
42.0	445.27105261780594
43.0	445.50610691142174
44.0	446.9740775241553
45.0	438.4449103953034
46.0	427.50405140145034
47.0	421.800922395323
48.0	424.2875942680538
49.0	423.0666928039565
50.0	424.25940752508336
51.0	422.1977557316933
52.0	423.3664409438825
53.0	424.48158969199864
54.0	425.5071770600379
55.0	433.9455292558531
56.0	442.8774052382043
57.0	445.247821431443
58.0	442.46691363054373
59.0	442.44234501274764
60.0	441.59682395549805
61.0	443.53903484715175
62.0	439.96949890863596
63.0	430.6027466675649
64.0	421.8429817388959
65.0	416.70032809074206
66.0	411.48365308823236
67.0	403.05132734605314
68.0	398.6851014592871
69.0	397.43467458845424
70.0	397.2175509663948
71.0	397.78396337274484
72.0	396.00077622893696
73.0	393.35609114557815
74.0	389.5637864381408
75.0	388.9818717306331
76.0	388.45808339061267
77.0	380.37925707556377
78.0	369.7689994920335
79.0	357.9821774026188
80.0	345.38561351737934
81.0	333.62924381588294
82.0	326.67122773632764
83.0	314.71547564919865
84.0	301.27091838220304
85.0	288.12248911060976
86.0	275.1276469166908
87.0	261.6826523746571
88.0	242.8561540123009
89.0	224.27208176532076
90.0	201.6045549097178
91.0	173.9008322206292
92.0	146.3646454171554
93.0	124.47913772804432
94.0	99.68888482551058
95.0	75.54769683813025
96.0	52.522207472245825
97.0	31.245259342652442
98.0	13.80524027022827
99.0	2.9943250016540857
