#Transcript position	Transcript coverage profile
0.0	43.50023745097428
1.0	53.77079459138486
2.0	64.91167816345968
3.0	74.91513895259574
4.0	90.66225792501642
5.0	107.42112878797485
6.0	125.91880648275053
7.0	143.06906956998702
8.0	158.40031051017675
9.0	166.9448452046981
10.0	169.75226440286335
11.0	174.65807171463587
12.0	181.5222387278066
13.0	188.26913417522556
14.0	189.96154308343478
15.0	192.32230875557912
16.0	195.31149492280593
17.0	197.14984914500386
18.0	198.35038750211442
19.0	207.8411733094146
20.0	211.4542011706277
21.0	203.694119677306
22.0	208.00352868183765
23.0	218.37977741097762
24.0	225.0715716627742
25.0	221.11512749613118
26.0	212.631918938278
27.0	206.92497824915483
28.0	201.5041328933218
29.0	207.336685863458
30.0	221.54473056939185
31.0	234.8465563416743
32.0	242.2095379338341
33.0	244.37627738856443
34.0	244.27685504072588
35.0	241.33386326889465
36.0	240.031249928818
37.0	244.74706230357756
38.0	261.0077238738121
39.0	276.5345218353296
40.0	285.79101974398634
41.0	283.7454830540703
42.0	275.1910801307149
43.0	271.0213961668764
44.0	271.6568005205436
45.0	262.8172121769581
46.0	249.31671186249557
47.0	239.02377493634032
48.0	242.16274597624033
49.0	242.84155780832393
50.0	245.582571719986
51.0	245.4149530478324
52.0	245.80434567189585
53.0	247.269300790297
54.0	249.38808259519087
55.0	256.3969338832119
56.0	263.1470380331892
57.0	263.9466518638721
58.0	260.2134618791808
59.0	259.13693844999244
60.0	259.69802104031874
61.0	264.5652594821693
62.0	260.4900142163351
63.0	252.26036571560942
64.0	243.6335065033618
65.0	239.82761927337995
66.0	239.24649284675195
67.0	234.98069022787544
68.0	231.39572150481703
69.0	231.655308479998
70.0	232.26742415222424
71.0	233.1807901752157
72.0	232.77714718636213
73.0	232.99255139443207
74.0	230.81235673070864
75.0	228.67033545272997
76.0	227.26955100527684
77.0	221.86682563597802
78.0	213.10344702121665
79.0	203.77471866699113
80.0	196.9506002378487
81.0	192.05776420398195
82.0	188.74763543822385
83.0	182.25457825077828
84.0	171.0675409938545
85.0	161.98721491124385
86.0	155.59607632013547
87.0	147.93038949599904
88.0	138.00810021108896
89.0	130.12694586474308
90.0	115.57557969739169
91.0	96.48533249206838
92.0	79.92958739042577
93.0	66.94022054639788
94.0	53.64585387773287
95.0	39.755571461591
96.0	25.58961629939566
97.0	13.770625736590492
98.0	7.2877456046186015
99.0	2.094588920311477
