#Transcript position	Transcript coverage profile
0.0	69.7559437046782
1.0	99.59808743634731
2.0	128.35676750505
3.0	150.91896186132522
4.0	174.78785699529936
5.0	199.6709783236555
6.0	227.29087857034642
7.0	253.17575924053062
8.0	275.0535800477438
9.0	288.4752384380723
10.0	296.86158390410526
11.0	307.5309758028055
12.0	318.8762366663262
13.0	329.0879994858988
14.0	335.6436424195192
15.0	344.2141304102348
16.0	350.68847696624056
17.0	354.6389316483685
18.0	358.7926545601587
19.0	370.73588623677176
20.0	376.1150699228798
21.0	370.9612273797915
22.0	375.170166897357
23.0	385.48260988295
24.0	392.33102519722365
25.0	390.22562143794414
26.0	384.1560116879998
27.0	377.91001099981895
28.0	372.45032232324024
29.0	378.4953046625632
30.0	391.9913495798318
31.0	404.60900644919974
32.0	413.3519621702757
33.0	417.9106161859836
34.0	420.7491770999088
35.0	418.661646579381
36.0	416.3734629460431
37.0	418.8412882975598
38.0	433.62360357095855
39.0	448.6129408663495
40.0	457.5242614224663
41.0	457.05732184241936
42.0	448.57623992798693
43.0	444.685604479801
44.0	444.35610927096945
45.0	435.791506088702
46.0	420.92757160699983
47.0	409.4709964873511
48.0	411.47895385244334
49.0	411.66607310184037
50.0	413.138239608797
51.0	412.5543595138895
52.0	413.86470597616756
53.0	416.2782312798143
54.0	419.4467818330776
55.0	428.5997454295368
56.0	436.28955372098443
57.0	436.90135733638834
58.0	433.8562418212216
59.0	432.284528456196
60.0	433.0024082295281
61.0	438.003148535173
62.0	431.3823061208253
63.0	422.4481553287062
64.0	414.3297170580345
65.0	412.22184588009895
66.0	412.83354884662657
67.0	408.2147486194999
68.0	404.00906268206035
69.0	404.0783359084888
70.0	404.0821972209572
71.0	404.04007927102543
72.0	403.2100468070067
73.0	400.9528024804257
74.0	395.6729699590831
75.0	390.3234806091885
76.0	386.9456498506585
77.0	379.09523361804503
78.0	368.12457591221056
79.0	356.8059507821281
80.0	347.598854451094
81.0	340.42749499452
82.0	331.8069864929348
83.0	322.81057068756746
84.0	308.7757341560448
85.0	294.9414357299064
86.0	283.1153827819681
87.0	270.37933655065564
88.0	252.1656721343869
89.0	234.79297865935916
90.0	212.32060431810984
91.0	183.86917847649332
92.0	159.14408401802663
93.0	136.86119274375324
94.0	111.5254874183913
95.0	85.37143578342256
96.0	58.92708488140126
97.0	36.42817386896308
98.0	17.260033726303973
99.0	3.6465067173028576
