#Transcript position	Transcript coverage profile
0.0	34.91694698825885
1.0	42.5736831323804
2.0	53.32752759351677
3.0	64.76625810591297
4.0	79.32898994663394
5.0	96.0169204748989
6.0	114.29936212945725
7.0	130.9792581551451
8.0	146.72500978744563
9.0	158.43602517508864
10.0	165.87805857455527
11.0	170.03411509252834
12.0	174.47862720103902
13.0	181.37872740574113
14.0	185.531032168609
15.0	190.27036537779043
16.0	194.20731606830057
17.0	197.52370181950994
18.0	200.46843800550153
19.0	206.94354596815305
20.0	210.1449283557551
21.0	204.4861785993076
22.0	210.21100041914602
23.0	218.78036719430125
24.0	223.96623314028196
25.0	219.7082733436587
26.0	211.2550113568211
27.0	202.13820569816858
28.0	196.4521890297304
29.0	204.2236989420762
30.0	215.9156115562286
31.0	229.5340515170069
32.0	237.07893410972093
33.0	239.16029704861313
34.0	237.34338360858334
35.0	234.86842447332205
36.0	234.21572105598068
37.0	236.86034777233542
38.0	248.4419641734282
39.0	259.7706785360826
40.0	271.558670288431
41.0	269.6208922856772
42.0	261.75101400029496
43.0	256.8576701963435
44.0	257.6603825235501
45.0	249.31385384036184
46.0	240.63638501596697
47.0	235.3571544548203
48.0	238.3193079249389
49.0	235.30841247104385
50.0	235.92160003065518
51.0	235.29200212018583
52.0	236.34234666450223
53.0	237.6497051075481
54.0	238.38224526858346
55.0	245.5027825315876
56.0	254.07289035640136
57.0	257.6254266493168
58.0	254.3089745281516
59.0	251.44141858629953
60.0	250.12852500177365
61.0	254.46488166752795
62.0	251.21703221915942
63.0	242.0592277354681
64.0	231.61959708440193
65.0	221.92045921034344
66.0	219.0960510728703
67.0	216.19101078061425
68.0	213.77466902369486
69.0	210.7724357539319
70.0	208.58304689820312
71.0	210.51353313773726
72.0	212.67296390744195
73.0	214.21141501878552
74.0	211.27682177695718
75.0	209.003718206215
76.0	207.1761688571718
77.0	201.66908318908494
78.0	194.58872611492578
79.0	188.2598863770941
80.0	181.01799207141784
81.0	175.35343846186788
82.0	173.68121950588284
83.0	166.93154322093034
84.0	161.30253013285952
85.0	154.13617228645708
86.0	148.7896821216469
87.0	137.78691623505057
88.0	125.02954245778498
89.0	115.02753068344376
90.0	102.5451163970729
91.0	86.45534263210918
92.0	72.24480378366897
93.0	57.953574095253344
94.0	45.51218521352877
95.0	34.6799615926344
96.0	23.696463525509
97.0	12.10163712573886
98.0	5.611635140508301
99.0	1.3230176117439654
