#Transcript position	Transcript coverage profile
0.0	50.378844036540414
1.0	78.07965976211672
2.0	102.56993230738958
3.0	124.8051823059351
4.0	148.45028510202653
5.0	170.49440616837163
6.0	194.61360071783446
7.0	216.74607572942347
8.0	237.07029513118096
9.0	252.7256290751774
10.0	262.5934803316738
11.0	272.27100935198234
12.0	281.9038588058627
13.0	292.1882855282696
14.0	300.50654252520735
15.0	311.22772726263787
16.0	320.9171958272902
17.0	324.8697527695396
18.0	328.73779079090957
19.0	334.94057190995835
20.0	336.9797286816664
21.0	334.32031127577187
22.0	340.80120595001245
23.0	351.32944383318664
24.0	356.51592298889955
25.0	354.86080569926963
26.0	351.65760836089675
27.0	346.6186656033568
28.0	344.0668311912556
29.0	349.3259653082086
30.0	361.8985500920779
31.0	375.0603998450403
32.0	382.04070320159866
33.0	384.17630159705027
34.0	380.1377174611279
35.0	377.3502936452715
36.0	377.6027897357947
37.0	379.8694407991699
38.0	390.3554798966361
39.0	399.6559815352891
40.0	409.0311852137209
41.0	407.28182061102416
42.0	401.96393687393675
43.0	397.9654402228245
44.0	398.3522893243156
45.0	392.7078399931098
46.0	387.73722193753895
47.0	381.78153912333954
48.0	383.43711619921504
49.0	380.311969153812
50.0	383.0306773253476
51.0	382.7054629186065
52.0	383.74220826472055
53.0	383.7156646081731
54.0	383.36661957658475
55.0	391.6646043540889
56.0	396.9453034991469
57.0	399.5321233359873
58.0	400.92623362796974
59.0	400.7461745776424
60.0	398.4555332294908
61.0	401.8037076115632
62.0	399.18090493007486
63.0	389.44850450831285
64.0	379.4470540793803
65.0	372.9771120306194
66.0	372.79982332997196
67.0	368.21430357099104
68.0	365.3184309118416
69.0	363.0971867227355
70.0	357.7219092102146
71.0	355.5502971169611
72.0	355.0844805870948
73.0	355.14931140566637
74.0	352.16146210945993
75.0	350.25496068521284
76.0	347.0969271400694
77.0	339.092639001386
78.0	331.0985000209879
79.0	323.1281046119816
80.0	312.25843136571916
81.0	302.3488618712973
82.0	296.3138062411395
83.0	284.5691815986549
84.0	274.34813761069
85.0	260.2633951848709
86.0	248.97752616493955
87.0	235.3014896501687
88.0	216.80321935784877
89.0	199.18488021073313
90.0	178.85485792151295
91.0	155.5142831346421
92.0	132.41003043642547
93.0	111.61838605624803
94.0	90.07109103495073
95.0	69.48999203873917
96.0	48.223655166996046
97.0	28.531070157154637
98.0	12.281419294482381
99.0	2.5896701312721877
