#Transcript position	Transcript coverage profile
0.0	61.27568893470594
1.0	87.97373040253262
2.0	113.47322797906341
3.0	134.11608108823464
4.0	157.85312497331125
5.0	184.1424455794601
6.0	213.27857215031435
7.0	242.93941997443704
8.0	270.096235799654
9.0	290.50878296845013
10.0	303.23258859927364
11.0	315.60210042938485
12.0	326.5884088977034
13.0	340.673962167446
14.0	349.7639783400188
15.0	357.04652678336515
16.0	363.56926474815856
17.0	369.83034906318477
18.0	378.00280461651926
19.0	386.9162335087401
20.0	390.07533057288487
21.0	379.52184596265465
22.0	382.45656705267083
23.0	395.83805309040855
24.0	401.48767887834595
25.0	396.42567370962126
26.0	387.18577703315543
27.0	377.6979499197275
28.0	371.5282386688916
29.0	381.6292160338274
30.0	399.9929703150386
31.0	414.160648269955
32.0	424.47438710266897
33.0	428.9432486060106
34.0	430.42470477418436
35.0	425.5740294785589
36.0	425.46538519460637
37.0	431.04912507749384
38.0	449.7433889946425
39.0	466.67981085653014
40.0	477.0054250815244
41.0	472.7530506662119
42.0	463.5738767768888
43.0	455.5503692741976
44.0	455.0917295556331
45.0	444.8891339021984
46.0	430.1478704380994
47.0	417.89154993482276
48.0	420.56100075860695
49.0	418.93627174818056
50.0	421.8690393754708
51.0	422.93642108311377
52.0	424.25827417427234
53.0	422.20584659068976
54.0	421.2055108835856
55.0	432.03168627595375
56.0	443.10137510370424
57.0	446.5427460025039
58.0	445.4749664095292
59.0	442.09359724591457
60.0	440.8163958507815
61.0	441.873887221042
62.0	435.7307870647408
63.0	424.95498838467535
64.0	413.44446053184635
65.0	409.26689194641335
66.0	407.2429936729234
67.0	401.81087278519846
68.0	396.50499168313115
69.0	397.7964248682129
70.0	402.68375829478026
71.0	404.3197296022869
72.0	403.9336490858006
73.0	400.42618213227485
74.0	392.7316204516895
75.0	386.6133819983163
76.0	379.9003833216713
77.0	372.2450194824938
78.0	360.19418826157977
79.0	351.9457123899114
80.0	342.0034726974241
81.0	331.82844827675814
82.0	325.0116924637114
83.0	313.3148169137185
84.0	297.58824069126763
85.0	283.4128478479037
86.0	273.1717929259248
87.0	259.09054146148463
88.0	238.2250761416927
89.0	221.2383101886615
90.0	199.1121457322013
91.0	171.1728728837256
92.0	143.4903975367244
93.0	120.98734835573877
94.0	95.86157993795189
95.0	72.08069250773536
96.0	49.260079070268624
97.0	29.24637706688741
98.0	13.100512988648681
99.0	2.7570164005892903
