#Transcript position	Transcript coverage profile
0.0	29.917063423633902
1.0	38.5008314016299
2.0	48.064110356713236
3.0	56.50752752348083
4.0	69.67659531709685
5.0	81.33491447961757
6.0	94.81791315969717
7.0	107.40948689967438
8.0	118.64279406297021
9.0	127.52054723163509
10.0	130.76464525169325
11.0	137.04734936280718
12.0	143.72190578697757
13.0	151.35748949050787
14.0	153.94967306931827
15.0	157.6109804518979
16.0	161.5711180859685
17.0	164.2894207120088
18.0	165.67886731777327
19.0	171.58557671861675
20.0	174.83188741303917
21.0	174.24052003341941
22.0	179.3026838960743
23.0	186.8164524869241
24.0	189.404172194408
25.0	188.30097122576055
26.0	185.4930906554392
27.0	182.42237830551193
28.0	182.1534628417826
29.0	186.7264073350568
30.0	194.16251465124884
31.0	203.18412627602152
32.0	209.40881923680752
33.0	213.3760165443477
34.0	215.10059832931165
35.0	214.61067113274254
36.0	215.34500506437846
37.0	216.55147911892044
38.0	225.6303677330124
39.0	232.7736971343582
40.0	236.8630163440732
41.0	236.28091691566564
42.0	232.19441025761094
43.0	230.37978041694518
44.0	230.31089362099374
45.0	225.3669265805671
46.0	218.7059893118151
47.0	214.2412354653427
48.0	214.25568655605764
49.0	214.87334203246772
50.0	218.17713295575302
51.0	220.12458294142849
52.0	223.88406362399843
53.0	223.5183469726298
54.0	222.0469301470236
55.0	227.8109274518224
56.0	235.7818196554986
57.0	237.74552923621926
58.0	235.7897432892709
59.0	234.71309806716678
60.0	233.3741520913594
61.0	235.60298806859893
62.0	233.7785076727015
63.0	224.89109206427915
64.0	217.023986875269
65.0	213.0625084783363
66.0	212.55596619256565
67.0	210.26954838416103
68.0	208.0652694265589
69.0	208.72399074426306
70.0	206.0518250040283
71.0	204.03948769978336
72.0	203.43037322198074
73.0	204.02081627549006
74.0	202.65253832072065
75.0	200.03171301644792
76.0	196.57187683900324
77.0	191.21077041642562
78.0	184.25064194418462
79.0	176.05029660526662
80.0	166.19288197260144
81.0	160.0539813268966
82.0	158.99812711069774
83.0	150.3134074779314
84.0	142.10865617328923
85.0	133.48671308579904
86.0	126.8662353112054
87.0	118.99129197493079
88.0	110.13067418115897
89.0	103.86923180430072
90.0	90.52984282113252
91.0	74.55284627437524
92.0	60.87689240595412
93.0	49.762557043521625
94.0	39.510993689506556
95.0	29.486396849167768
96.0	19.454230055150106
97.0	10.419181743093787
98.0	4.979616005906851
99.0	1.1967254541727008
