#Transcript position	Transcript coverage profile
0.0	23.8249828721472
1.0	31.945647986847035
2.0	40.272010975973544
3.0	50.00429459458455
4.0	65.03180916743722
5.0	78.71928429668229
6.0	93.2228994985476
7.0	108.28703862254719
8.0	123.11460712401595
9.0	131.1956444756838
10.0	135.18737793964888
11.0	141.1495480201177
12.0	148.08431276699073
13.0	157.05522824983865
14.0	162.34368091590264
15.0	165.09622933170849
16.0	172.78288069240938
17.0	177.17418969039431
18.0	179.33781618811446
19.0	185.25200972733137
20.0	189.10111430954262
21.0	187.61637324415878
22.0	192.11190171554722
23.0	199.3496765278966
24.0	204.11223773908767
25.0	201.03281578173227
26.0	195.4984918233673
27.0	190.62922148465407
28.0	188.32724498952575
29.0	194.57864029281455
30.0	204.10056044664543
31.0	214.23261902136917
32.0	220.00562192284445
33.0	223.88386331423126
34.0	224.5585804822699
35.0	224.50664241609772
36.0	227.16147306353463
37.0	227.47787653950292
38.0	234.8224420232586
39.0	242.80864036729312
40.0	250.69429649009493
41.0	249.28210349005724
42.0	245.65691402242268
43.0	244.7828497119948
44.0	245.42332722302996
45.0	239.356770024942
46.0	233.59176741546483
47.0	229.9058973368307
48.0	231.28576172765383
49.0	230.6986134802458
50.0	234.0613959072945
51.0	233.81170030563015
52.0	233.4033341980097
53.0	234.31175192366936
54.0	234.3581364856783
55.0	243.04072102423459
56.0	248.85994741961443
57.0	252.16342224105168
58.0	248.32809028945135
59.0	245.42600023477652
60.0	243.1357603032495
61.0	247.31525352844488
62.0	245.60643805031273
63.0	237.04225508070942
64.0	226.84387001425324
65.0	220.8047817681891
66.0	217.56093104773333
67.0	212.08744468020336
68.0	208.56005522243282
69.0	207.89415001634762
70.0	208.5615956102882
71.0	211.98489158952745
72.0	212.58339143431826
73.0	212.60757480834175
74.0	211.6350803300373
75.0	210.0560167490721
76.0	207.77363906836948
77.0	202.4394873700283
78.0	194.20245730780294
79.0	187.7769081330342
80.0	178.71694181882066
81.0	171.12020961664007
82.0	168.67120138555327
83.0	158.12491175884003
84.0	146.96122553549034
85.0	134.92375767437952
86.0	126.3631675705602
87.0	116.42709848086085
88.0	103.70403918188103
89.0	96.69905262010037
90.0	84.77609079666638
91.0	70.06476868400868
92.0	55.976900699799714
93.0	43.93436991833244
94.0	33.68632061657521
95.0	24.5020611985821
96.0	15.417077866012855
97.0	8.142656490182873
98.0	4.181004784129225
99.0	1.0387945798639204
