gene_id	log2FoldChange	padj
TRINITY_DN42_c0_g2_i1	-1.35427399513967	3.75044357511687e-27
TRINITY_DN4277_c0_g1_i1	-4.87612836683897	5.05231628812053e-27
TRINITY_DN3847_c0_g1_i1	-1.26610385666499	5.74109596773958e-27
TRINITY_DN3977_c0_g1_i1	-1.51395340383426	9.17856794767608e-27
TRINITY_DN8293_c0_g1_i1	-2.7474360719217	1.22580069826256e-26
TRINITY_DN194_c0_g1_i2	-1.44181889850522	1.71925410881962e-26
TRINITY_DN4647_c0_g1_i1	-6.69938312926403	1.76058070569516e-26
TRINITY_DN3782_c0_g1_i1	-1.08075811027741	5.29143340870597e-26
TRINITY_DN5222_c0_g1_i1	-1.08443925999436	6.85821254235466e-26
TRINITY_DN5140_c0_g1_i1	-1.59885860497904	1.97482722156513e-25
TRINITY_DN3462_c0_g1_i1	-1.03233571130015	9.35490524351218e-25
TRINITY_DN8738_c0_g1_i1	-2.58126168909358	1.258637410401e-24
TRINITY_DN295_c0_g1_i1	-1.27073174750088	3.18742841845974e-24
TRINITY_DN7169_c0_g1_i1	-1.38614697079442	6.56908928688961e-24
TRINITY_DN54_c0_g1_i5	-2.38139622014617	1.01355992673766e-23
TRINITY_DN5096_c0_g1_i1	-1.62201280351995	1.02832274153399e-23
TRINITY_DN3960_c0_g1_i1	-1.8079699222256	1.20470632127553e-23
TRINITY_DN325_c0_g1_i1	-1.07549187805494	4.76590121449048e-23
TRINITY_DN7380_c0_g1_i1	-2.93223201187892	1.79362264955524e-22
TRINITY_DN2040_c0_g1_i1	-1.05849195681422	2.25455580494309e-22
TRINITY_DN606_c0_g1_i1	-1.93802757642732	7.95380612138397e-22
TRINITY_DN33_c0_g1_i7	-3.02268960194153	1.38520441502003e-21
TRINITY_DN2049_c0_g1_i1	-1.40393483287291	2.17605403084853e-21
TRINITY_DN67_c0_g1_i2	-1.209743657118	2.70059888812147e-21
TRINITY_DN3933_c0_g1_i1	-1.53338520639505	1.15057058254162e-20
TRINITY_DN26_c1_g2_i1	-1.04059197392005	1.29673135157869e-20
TRINITY_DN400_c0_g1_i1	-2.5219952923325	1.37671071913768e-20
TRINITY_DN6625_c0_g1_i1	-2.39886076014809	2.57943904098089e-20
TRINITY_DN3615_c0_g1_i1	-1.48155200697741	2.83333845209751e-20
TRINITY_DN6486_c0_g1_i1	-1.39771856294763	4.73295166997846e-20
TRINITY_DN5845_c0_g1_i1	-3.32069599771795	5.22032152745161e-20
TRINITY_DN8113_c0_g1_i1	-1.04675807288414	1.09523974383449e-19
TRINITY_DN4419_c0_g1_i1	-1.4387575116123	1.54530252253259e-19
TRINITY_DN6962_c0_g1_i1	-1.12248766661059	2.4255528359753e-19
TRINITY_DN6591_c0_g1_i1	-1.00497719077633	6.11235787786855e-19
TRINITY_DN1813_c0_g1_i1	-1.84564672159668	6.62327813463302e-19
TRINITY_DN3489_c0_g1_i1	-1.84987816195492	2.35085565174289e-18
TRINITY_DN4246_c0_g1_i1	-2.29490099320218	3.98706603899377e-18
TRINITY_DN5059_c0_g1_i1	-1.51866986585706	1.49839153142483e-17
TRINITY_DN4415_c0_g1_i1	-1.7385999864911	1.5684455145087e-17
TRINITY_DN6683_c0_g1_i1	-1.65229793215187	1.72657889203977e-17
TRINITY_DN7969_c0_g1_i1	-1.09423410887304	2.92925073286183e-17
TRINITY_DN1039_c0_g1_i1	-2.36819777381727	4.43122393297447e-17
TRINITY_DN1895_c0_g1_i1	-2.3275957934656	4.71381244048181e-17
TRINITY_DN4159_c0_g1_i1	-1.97122010057908	4.84110197077746e-17
TRINITY_DN4672_c0_g1_i1	-2.26664337738512	6.05503337743469e-17
TRINITY_DN3757_c0_g1_i1	-1.75906880194459	7.46354793625578e-17
TRINITY_DN2527_c0_g1_i1	-1.33499941216361	1.05088670050498e-16
TRINITY_DN5382_c0_g1_i1	-1.83900289455645	1.21166656188013e-16
TRINITY_DN6743_c0_g1_i1	-3.12131618668077	1.21966110141471e-16
TRINITY_DN3501_c0_g1_i1	-2.99703517378968	1.69655909692168e-16
TRINITY_DN54_c0_g1_i2	-3.21169947149481	2.25530539746867e-16
TRINITY_DN5910_c0_g1_i1	-1.70670495692638	3.65436380192316e-16
TRINITY_DN178_c0_g1_i1	-1.25616677871159	3.69585325238503e-16
TRINITY_DN5190_c0_g1_i1	-1.22837322488272	6.93129524022036e-16
TRINITY_DN5775_c0_g1_i1	-1.19603535340866	1.22690364490863e-15
TRINITY_DN7168_c0_g1_i1	-1.410812992999	2.11606254472864e-15
TRINITY_DN74_c0_g1_i4	-5.33486330271857	2.43267164801208e-15
TRINITY_DN5242_c0_g1_i1	-1.00381282325158	3.30311680099443e-15
TRINITY_DN5683_c0_g1_i1	-1.05409078305618	3.62014566697952e-15
TRINITY_DN3454_c0_g1_i1	-1.11669163570548	6.47224652752526e-15
TRINITY_DN29_c0_g1_i1	-1.2025949405406	6.5162421623077e-15
TRINITY_DN3163_c0_g1_i1	-1.06575286776133	7.8105847902461e-15
TRINITY_DN664_c0_g1_i1	-1.58701001061157	8.21626561087049e-15
TRINITY_DN7612_c0_g1_i1	-4.07174428448747	1.08629732561491e-14
TRINITY_DN6071_c0_g1_i1	-2.66071255836356	1.09215675736244e-14
TRINITY_DN6613_c0_g1_i1	-1.57250784456197	1.30097430720833e-14
