metric	value
flow	rnaseq-de-flow
version	0.1.0-r2
samples	24
input_genes	9609
tested_genes	9592
significant_genes	713
up_genes	221
down_genes	492
padj_cutoff	0.05
lfc_cutoff	1
fit_type	parametric
lfc_shrink	none
contrast	condition:snf2_KO:WT
