gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN8005_c0_g1_i1	226.798803941382	-3.91763699652215	0.111157059624839	-35.2441582185097	4.21608277008068e-272	4.04280176823036e-268
TRINITY_DN3827_c0_g1_i1	430.810272681281	7.91049844891879	0.235853081199734	33.5399410882393	1.26199454748291e-246	6.05063285790679e-243
TRINITY_DN5486_c0_g1_i1	216.716399753331	-3.75140780244936	0.115093071888616	-32.5945579598387	4.89809630234692e-233	1.56559484810682e-229
TRINITY_DN141_c0_g1_i1	141.801732543672	-4.18236398354296	0.128708395743583	-32.4948808458091	1.25947776240599e-231	3.01928306592776e-228
TRINITY_DN3_c0_g1_i8	968.377818986438	-2.18764582062564	0.0695144835382079	-31.4703599779063	2.21077235007609e-217	4.23981921297593e-214
TRINITY_DN4868_c0_g1_i1	328.919585002529	-2.67754689611547	0.0892444813710425	-30.0023805952024	9.13626604198114e-198	1.46012758460929e-194
TRINITY_DN44_c2_g1_i1	553.616592771247	-3.25357475487761	0.11038396124548	-29.4750679189893	6.01017879499278e-191	8.2330863521694e-188
TRINITY_DN4907_c0_g1_i1	188.149464653621	-2.42767841925798	0.0856899053443041	-28.3309732868009	1.43614671069658e-176	1.72140135110869e-173
TRINITY_DN44_c3_g1_i1	269.209001629942	-3.68932744736701	0.138119671834144	-26.7110933466249	3.4985153838457e-157	3.72747377952182e-154
TRINITY_DN6656_c0_g1_i1	96.7051190871229	-2.52024097044852	0.10401793215081	-24.2289085962077	1.10344489002017e-129	1.05809330504034e-126
TRINITY_DN4186_c0_g1_i1	158.954823747918	-2.23845400712224	0.0935797178802703	-23.9202901849545	1.88385820034312e-126	1.64221057119001e-123
TRINITY_DN44_c0_g1_i1	269.999322543615	-3.65549857640011	0.159758933441027	-22.8813406403311	7.12765255551716e-116	5.6955883629045e-113
TRINITY_DN3_c0_g1_i12	1340.8565674567	-1.61035693093405	0.0725686593358812	-22.1908044832491	4.21387838870003e-109	3.10822152840343e-106
TRINITY_DN2_c0_g1_i1	200.321058807018	2.4932118161641	0.115405946077801	21.6038419240834	1.65281168969029e-103	1.13205794946001e-100
TRINITY_DN8384_c0_g1_i1	276.018096106557	-3.06472108800947	0.143902357955073	-21.2972263384752	1.20445061854797e-100	7.69965132083767e-98
TRINITY_DN8672_c0_g1_i1	99.8427119113325	-2.01020872870752	0.0991945433663777	-20.265315616029	2.60286418011804e-91	1.55992903894699e-88
TRINITY_DN8958_c0_g1_i1	140.670241696019	-2.479407876315	0.127252255199214	-19.4841959573406	1.49509498805429e-84	8.43321520026621e-82
TRINITY_DN7032_c0_g1_i1	110.830396335378	-3.03538238744643	0.155811962542884	-19.481061260691	1.58950386475556e-84	8.46764031063392e-82
TRINITY_DN2046_c0_g1_i1	81.5281861459495	-1.89328552179243	0.0994857962019389	-19.0307118611122	9.49540291012803e-81	4.79217992132725e-78
TRINITY_DN8429_c0_g1_i1	41.1202377288655	-2.80269221864639	0.148368293132312	-18.8901021874465	1.37579195990659e-79	6.59623455177216e-77
TRINITY_DN1939_c0_g1_i1	143.230862211431	-1.39831634749234	0.0786367715695017	-17.7819653526399	9.75013994392796e-71	4.45209961534882e-68
TRINITY_DN2177_c0_g1_i1	90.5126772476002	-1.79739123500637	0.10118180681536	-17.7639764655153	1.3436883758481e-70	5.85664901636702e-68
TRINITY_DN4936_c0_g1_i1	80.169506881326	-2.75501609307275	0.156663184857458	-17.5855999326161	3.17602153898053e-69	1.32412480596888e-66
TRINITY_DN467_c0_g1_i1	133.494312641753	-2.2423909391313	0.127568445579247	-17.5779435811837	3.63523677544075e-69	1.45242855998756e-66
TRINITY_DN2083_c0_g1_i1	54.4793570515094	-2.02107849416131	0.115287187496359	-17.5308161995464	8.33641869977374e-69	3.19751675648522e-66
TRINITY_DN5325_c0_g1_i1	177.415160982924	1.11434840895149	0.0640341341772667	17.4024123737915	7.91003900220284e-68	2.91728323046627e-65
TRINITY_DN6567_c0_g1_i1	70.5578479380467	-1.97114988958261	0.113594093533214	-17.3525737850644	1.88601598695204e-67	6.69815085143818e-65
TRINITY_DN8097_c0_g1_i1	69.6607418720867	-3.15837157375972	0.183138131570071	-17.2458435973029	1.20244679367047e-66	4.11795082303789e-64
TRINITY_DN1931_c0_g1_i1	42.0616479151844	-3.24654341589028	0.188342997189783	-17.2373991299444	1.39158211991701e-66	4.60133825789111e-64
TRINITY_DN4314_c0_g1_i1	84.6268336741292	-1.95338626646894	0.114758660628206	-17.0216893067225	5.67105848799759e-65	1.81265932804696e-62
TRINITY_DN6738_c0_g1_i1	113.203070954842	-1.37878310697187	0.0814256866583105	-16.9330240070029	2.56839208101088e-64	7.94461666606881e-62
TRINITY_DN4252_c0_g1_i1	245.677077614819	-1.29311453450055	0.0764701602434647	-16.9100539397793	3.79360618678182e-64	1.13677780390784e-61
TRINITY_DN6648_c0_g1_i1	279.156495862425	-2.81287545838295	0.166765316058919	-16.8672690752384	7.83352070232706e-64	2.27623121256407e-61
TRINITY_DN1926_c0_g1_i1	171.008719039172	-1.36575867613582	0.0811191170767722	-16.8364588441371	1.31897170983911e-63	3.71988815460211e-61
TRINITY_DN92_c0_g1_i1	65.0451598721003	-2.07124906940282	0.124529512105868	-16.6325960358856	4.04674119688795e-62	1.10869146677024e-59
TRINITY_DN6546_c0_g1_i1	304.818821260026	-1.05813749577739	0.063647395019818	-16.6249929859331	4.59420369663495e-62	1.22371720130646e-59
TRINITY_DN5095_c0_g1_i1	56.0247080189498	-2.02329520036735	0.123452650216132	-16.3892407074706	2.28278182982788e-60	5.91610674762689e-58
TRINITY_DN6566_c0_g1_i1	33.1941176259305	-3.81701806802502	0.237519502400367	-16.0703354017262	4.11851920770989e-58	1.03927580744027e-55
TRINITY_DN479_c0_g1_i1	62.8838078681167	-2.4796134477016	0.15529849860315	-15.9667573737336	2.17819106230816e-57	5.35555746063408e-55
TRINITY_DN61_c0_g1_i28	115.256891406725	-3.32855532804778	0.208969151812209	-15.9284530715758	4.02184193958342e-57	9.64136058966635e-55
TRINITY_DN884_c0_g1_i1	74.6149652295846	-1.49234884230546	0.0941385503411993	-15.8526856096311	1.34699212829464e-56	3.15031890688228e-54
TRINITY_DN492_c0_g1_i1	159.846079194291	-1.62384013492558	0.10266348642035	-15.8171146485018	2.37112722793859e-56	5.41350928302455e-54
TRINITY_DN82_c0_g1_i1	108.232266795009	-3.0106265423588	0.196021430237659	-15.3586602174501	3.09913166678912e-53	6.91106361693973e-51
