gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN460_c0_g1_i1	226.745811224126	-3.91667557372398	0.11102441916464	-35.277604721497	1.29512373841302e-272	1.22026558633274e-268
TRINITY_DN7108_c0_g1_i1	430.979208927632	7.91133608485755	0.235835499832467	33.5459932473169	1.02994557352152e-246	4.85207359685989e-243
TRINITY_DN984_c0_g1_i1	216.682264428578	-3.75058720794606	0.115117960566149	-32.5803826744384	7.77736419687943e-233	2.4426108487666e-229
TRINITY_DN1841_c0_g1_i1	328.786867531232	-2.67480587432533	0.0894083228607791	-29.9167436401907	1.1919365602411e-196	2.8076065676479e-193
TRINITY_DN76_c0_g1_i1	118.567263901943	-4.37275686258489	0.150908334721589	-28.9762448883437	1.31103644744987e-184	2.47051708157453e-181
TRINITY_DN33_c0_g1_i3	2391.45418350346	-1.54729922989477	0.0534748063892302	-28.9351067235729	4.32070562543343e-184	6.78494806713896e-181
TRINITY_DN1879_c0_g1_i1	188.126213797571	-2.42680791517287	0.0856300742680596	-28.3406027136669	1.09282626264344e-176	1.47094414951808e-173
TRINITY_DN108_c1_g1_i1	266.620046704381	-3.69148022347093	0.137393692599585	-26.8679016745641	5.21143583351533e-159	6.13776855292269e-156
TRINITY_DN108_c0_g1_i5	689.331885060613	-3.49591809630333	0.132479559759323	-26.3883583448979	1.86385312156958e-153	1.95124712349207e-150
TRINITY_DN108_c0_g1_i2	377.075505338632	-3.29283595342768	0.130808533277183	-25.172944539101	7.92650003818582e-140	7.46834833597868e-137
TRINITY_DN3663_c0_g1_i1	96.6952763610643	-2.51939486902944	0.104017997493939	-24.2207591929102	1.34472592055118e-129	1.15181887485756e-126
TRINITY_DN7361_c0_g1_i1	158.938476536313	-2.23759758715379	0.093571193055765	-23.9133168454982	2.22641452150859e-126	1.74810646847116e-123
TRINITY_DN45_c0_g1_i2	200.378474922981	2.49406557734519	0.115380649695073	21.615977929891	1.27081786957058e-103	9.21049689776463e-101
TRINITY_DN5290_c0_g1_i1	275.968019244014	-3.06380099224825	0.143933728635312	-21.2861920642039	1.52421280758605e-100	1.02579521950541e-97
TRINITY_DN81_c0_g1_i1	159.663823401313	-1.53948099814338	0.0728009318963108	-21.1464463165943	2.97528896828553e-99	1.86887817727908e-96
TRINITY_DN1061_c0_g1_i1	99.836589567826	-2.00936432576792	0.0992445138000146	-20.2466035534916	3.80593831184023e-91	2.24122192338491e-88
TRINITY_DN7128_c0_g1_i1	109.670384109027	-3.04758988668564	0.155587576193896	-19.5876172200773	1.97206294275477e-85	1.0929868850962e-82
TRINITY_DN9050_c0_g1_i1	140.659012505269	-2.47863367324279	0.12737171101858	-19.4598443674924	2.40514086420135e-84	1.25895762347251e-81
TRINITY_DN108_c0_g1_i1	94.5334231588718	-3.65623825031169	0.191118934363659	-19.1306960897691	1.40189742773742e-81	6.95193556007473e-79
TRINITY_DN6911_c0_g1_i1	81.5240533366809	-1.89246176696222	0.0995152200020403	-19.0168073478953	1.2379610591861e-80	5.83203454982573e-78
TRINITY_DN5343_c0_g1_i1	41.1140601403432	-2.80181745827167	0.148318662231781	-18.8905254140791	1.36480610601705e-79	6.12343006232984e-77
TRINITY_DN2177_c0_g1_i1	90.5012292444397	-1.79646515435819	0.101037659622494	-17.7801540640421	1.00702899583403e-70	4.31283054488558e-68
TRINITY_DN6627_c0_g1_i1	143.228068317804	-1.39748199998871	0.0786657282533088	-17.7648136109377	1.32379172687098e-70	5.422941587208e-68
TRINITY_DN6944_c0_g1_i1	54.4743084972422	-2.02023941099394	0.115246453050453	-17.5297317836716	8.49693306474066e-69	3.22335666564387e-66
TRINITY_DN1908_c0_g1_i1	80.2418223833139	-2.74998910290517	0.156879040398687	-17.5293595365987	8.55274003832486e-69	3.22335666564387e-66
TRINITY_DN3567_c0_g1_i1	70.6755329123525	-1.97346855872337	0.113026039614006	-17.4602999933727	2.87419780581887e-68	1.02199077250337e-65
TRINITY_DN773_c0_g1_i1	177.448017721738	1.11516315329941	0.0638724185837918	17.4592285375333	2.92865112052548e-68	1.02199077250337e-65
TRINITY_DN7996_c0_g1_i1	69.6511628077489	-3.15748053376294	0.183271801072381	-17.2284034711698	1.62576937063428e-66	5.47071393218434e-64
TRINITY_DN26_c0_g1_i1	869.410169895467	-1.40640058434241	0.0816475547824379	-17.2252627539181	1.71646489372478e-66	5.48922111614347e-64
TRINITY_DN6619_c0_g1_i1	42.0555313495348	-3.24570073264899	0.188438223654446	-17.2242163490189	1.74778851076527e-66	5.48922111614347e-64
TRINITY_DN4360_c0_g1_i1	55.0849540986772	-3.51190509497741	0.204734271502656	-17.1534793329989	5.9199439423951e-66	1.79928102662086e-63
TRINITY_DN5955_c0_g1_i1	84.6184456643466	-1.95252314764061	0.114740881787311	-17.0168044486523	6.16444099883139e-65	1.81504259659342e-62
TRINITY_DN2276_c0_g1_i1	113.195415574415	-1.37789620462245	0.08130162099669	-16.9479548836861	1.99265587723637e-64	5.68933444706698e-62
TRINITY_DN6614_c0_g1_i1	170.993675168774	-1.36484028182186	0.0809414308833222	-16.8620725742949	8.55362636500913e-64	2.37036081209165e-61
TRINITY_DN3655_c0_g1_i1	279.130465324646	-2.81204764048051	0.166938100058922	-16.844852310455	1.14454365082926e-63	3.08111150803238e-61
TRINITY_DN3543_c0_g1_i1	304.817027684953	-1.05725477014576	0.0636432873125881	-16.6121961135192	5.68724548016325e-62	1.48847852539161e-59
TRINITY_DN8136_c0_g1_i1	56.0169175428963	-2.02237507779144	0.123364648874017	-16.393473302524	2.12923016534863e-60	5.42205584267968e-58
TRINITY_DN3566_c0_g1_i1	33.1869674376739	-3.81611141612885	0.237590914857167	-16.0616891366532	4.73479657471044e-58	1.17398035070847e-55
TRINITY_DN90_c0_g1_i1	55.501133350804	-2.12803943270185	0.133184071522377	-15.9781827389495	1.81356337492619e-57	4.38138310732167e-55
TRINITY_DN670_c0_g1_i1	62.874441376197	-2.47870631445062	0.155336570264049	-15.9570042665239	2.54665058397916e-57	5.9986354505629e-55
TRINITY_DN679_c0_g1_i1	159.765213595993	-1.62575650317222	0.10248725580453	-15.8630113608756	1.14280273987463e-56	2.62621644270702e-54
TRINITY_DN5538_c0_g1_i1	74.6102784953369	-1.49149493603158	0.0940661486434745	-15.8558095291493	1.28165364936855e-56	2.87517635341679e-54
TRINITY_DN663_c0_g1_i1	96.9342244768484	-1.74785046757142	0.110832991789378	-15.7701280038795	4.99484504824494e-56	1.09445186150148e-53
TRINITY_DN93_c0_g1_i1	108.215016010034	-3.0097167072828	0.196186888376927	-15.3410695902386	4.06442453922499e-53	8.70341091104043e-51
TRINITY_DN86_c0_g1_i2	32.9209296467968	-3.77527640776743	0.248016123809738	-15.2218990837208	2.53076669631647e-52	5.29886306948751e-50
TRINITY_DN26_c1_g1_i2	136.448938445723	-1.58076430710008	0.104842267805571	-15.077547826718	2.27565046593589e-51	4.66112580218433e-49
TRINITY_DN759_c0_g1_i1	90.5068454551245	-1.37463357115721	0.091198961509046	-15.0729081604823	2.44126189027383e-51	4.89395096386383e-49
TRINITY_DN8327_c0_g1_i1	71.5599751439352	-1.40497292755278	0.0936968390688045	-14.9948807400116	7.93050127680935e-51	1.55669131312704e-48
TRINITY_DN8178_c0_g1_i1	77.2367337144957	-2.30160707060752	0.155659770210516	-14.7861394597641	1.79985326675411e-49	3.4608607100729e-47
TRINITY_DN54_c0_g1_i1	52.0790957343644	-2.40459940751545	0.164111868932335	-14.6521968408446	1.30429385669478e-48	2.45781134355564e-46
TRINITY_DN26_c1_g1_i6	229.068894843705	-2.10873961778551	0.145786636483705	-14.4645604607334	2.02896951520705e-47	3.74842172005506e-45
TRINITY_DN8446_c0_g1_i1	26.1588586421428	-5.15668520253364	0.359260266107703	-14.3536196151113	1.01118866590972e-46	1.83219607888489e-44
TRINITY_DN54_c0_g1_i3	22.2171973850951	-4.34004518488702	0.304408158506956	-14.2573221630256	4.03648488218779e-46	7.17580387924027e-44
TRINITY_DN3953_c0_g1_i1	64.2312277261232	-1.87294825517497	0.132084722232674	-14.1799007751683	1.2201896291613e-45	2.12900494184403e-43
TRINITY_DN152_c0_g1_i1	29.1775167929601	-3.76714258408158	0.269001910088579	-14.004148085198	1.47032250605789e-44	2.51879611855954e-42
TRINITY_DN58_c0_g1_i2	108.405080793686	-2.84951684145358	0.205441157028281	-13.8702336117651	9.5963744097045e-44	1.61458999443278e-41
TRINITY_DN2010_c0_g1_i1	65.4719014167212	-1.43723202055787	0.103831099612754	-13.8420186814754	1.42157512653355e-43	2.34983874424546e-41
TRINITY_DN3943_c0_g1_i1	88.5434163435308	-1.77407028122149	0.128601371046816	-13.7951117222199	2.72730027771008e-43	4.43045227872145e-41
TRINITY_DN5281_c0_g1_i1	222.909642552526	-0.955052171826655	0.0693916930240043	-13.7632060871649	4.24285653695872e-43	6.77562615105509e-41
