transcript_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
TRINITY_DN5484_c0_g1_i1	5.87491915403756	5.80764795609208	5.7723868722736	5.85111970974543	5.80579444999205	6.11073201286507	6.06626493028952	5.7934242268489	5.84662338063758	5.47359309812592	5.76245269566453	6.12510322064602	6.4779831135196	6.91569462698501	6.86415679313139	6.69054761473899	6.82588042786873	6.80450980218528	6.84157022683031	6.68597211248793	6.78894630364305	6.74457223992731	6.46023828272642	6.8267197371266
TRINITY_DN5431_c0_g1_i1	5.12625969934116	5.72169346746363	5.82359303705714	5.67537533151237	5.38980305775151	5.32656474978423	5.58306150413627	5.49231290125201	5.43836886959506	5.73048115277631	5.52273374598918	5.5216773213089	5.90648949604267	5.88717849933082	5.61367631215947	5.8216855198562	5.75075042870204	5.49842234071111	5.71081121476623	5.76557840363667	5.62327680893028	5.54380231918057	5.67458415091257	5.68614614442447
TRINITY_DN5480_c0_g1_i1	5.21500746584124	4.96743906527287	5.36630324858579	4.97589873680544	5.14223284288226	5.15282819940305	4.78502195614493	5.16735668669931	5.24341072800817	5.43669544223299	5.0616872328694	5.038759682962	5.45147095324966	5.12014927378895	5.61367631215947	5.15235981771542	5.26791624697885	5.09408007001011	5.12175922024913	5.41799859100311	5.33378778795829	5.31988277163682	5.28389141941318	4.75789313827693
TRINITY_DN5417_c0_g1_i1	5.12625969934116	5.19464503029585	5.36630324858579	5.79543194872785	5.64626994234716	5.43882434350768	5.45575662851854	5.59152670782191	5.43836886959506	5.35862516886048	5.41714524451878	5.5216773213089	5.31217098391049	5.2291301845624	5.08814224387466	5.38578068002184	5.43003578299127	5.63652980516602	5.3735743969279	5.37129249297378	5.38804962855368	5.36881129100146	5.39630658089246	5.12713989518734
TRINITY_DN5400_c0_g1_i1	5.43943455559263	5.66059936539888	5.63345538683955	5.50462652934365	5.49339063634153	5.68998223973736	5.64150295006276	5.68248597237715	5.87089004869917	5.96389191773147	5.76245269566453	5.82555732757398	5.93508856281089	5.70835528500161	5.8181328929406	5.64153174078569	5.66392156118139	5.42200014511274	5.60963636467276	5.92086689746136	5.78077380482265	5.72879612589016	5.67458415091257	5.58134674073342
TRINITY_DN5451_c0_g1_i1	4.59681866674123	4.62886993857002	5.10422680171921	4.90615749144968	4.78718077383648	4.70982767656443	4.78502195614493	4.71811620027684	4.70962095307909	4.81226037471001	4.87646328519198	4.60287010187945	4.66013247864372	4.99483157977301	4.51400841696821	4.49446598875914	4.61968274483491	4.73697171220416	4.15673909997839	4.77731321170295	4.91329076150266	4.51608618321539	4.15673909997839	4.15673909997839
TRINITY_DN5495_c0_g1_i1	6.75477711985453	6.75340152362143	6.73079878298336	6.80185796174826	6.81295317987902	6.48575032210968	6.68696609230891	6.64312925472642	6.81241498321898	6.65659060282751	7.02470406725563	6.88362997867381	6.74539973509181	6.60592974071796	6.68573105769712	6.37318693253701	6.60339662529654	6.27375852116978	6.60938063519025	6.65330731935041	6.78894630364305	6.71343750627695	6.62375496006005	6.81300361882606
TRINITY_DN5477_c0_g1_i1	4.15673909997839	4.15673909997839	4.15673909997839	4.49489544623877	4.47383535987922	4.15673909997839	4.4727367894152	4.61605643925843	4.15673909997839	4.15673909997839	4.15673909997839	4.15673909997839	4.66013247864372	4.50288941245186	4.15673909997839	4.49446598875914	4.15673909997839	4.15673909997839	4.84534873027189	4.15673909997839	4.15673909997839	4.51608618321539	4.15673909997839	4.15673909997839
TRINITY_DN5469_c1_g1_i1	5.40541852747618	5.41521843237875	5.63345538683955	5.50462652934365	5.23232169269549	5.36541095908702	5.55262873869144	5.45706678242602	5.47317185464062	5.22836694472697	5.81524840470429	5.34916069598218	5.49395787301049	5.70835528500161	5.31346407306567	5.34347108014777	5.3523272467571	5.38153536019823	5.60963636467276	5.54659482207507	5.21507550313201	5.76242019217497	5.28389141941318	5.33476364951531
TRINITY_DN5473_c0_g1_i1	4.6946943991706	4.49132740754803	4.60959799056113	4.49489544623877	4.47383535987922	4.15673909997839	4.60274299775906	4.48220832667526	4.79387557540257	4.48660748165303	4.71651615787663	4.60287010187945	4.77173289215934	4.50288941245186	4.51400841696821	4.15673909997839	4.61968274483491	4.63155070563714	4.64594778927738	4.66472294581695	4.15673909997839	4.15673909997839	4.54094909999477	4.75789313827693
TRINITY_DN5436_c0_g1_i1	6.43206193424853	6.22463554079382	6.5594379890182	6.30180168335714	6.29146093575428	6.25992278898202	6.31825947134724	6.05392168682949	6.16808061571154	6.51073582895854	6.15130681024862	6.25167506705336	6.21255269386454	6.18104481540467	5.68597747447062	6.26099920777717	6.22804390790994	6.2347882737602	5.77358543750343	5.94965039316432	6.01398684886125	6.59847804547675	6.05571361324853	6.27906171278479
TRINITY_DN5459_c0_g1_i1	6.37235073956889	6.37345751278532	6.37913517633798	6.14034733613207	6.38859456380888	6.52950654992342	6.36641095800759	6.48465739470048	6.34440325255721	6.54120024088818	6.35094399632404	6.3510877516354	5.99034956796012	6.20269455023136	5.93695348457756	5.7647022532604	5.83151304377291	5.81618676842479	5.94402119165708	5.83015102638342	6.28566775999811	6.00173448131488	6.34680039668325	5.71901503389169
TRINITY_DN5461_c0_g1_i1	6.15695240659044	6.20477096548319	6.39513260917465	6.24360183774252	6.32464655178988	6.24219539782847	6.18038679339899	6.32215249210247	6.39295860253805	6.03264984658448	6.24588853555924	6.38261335203442	6.01707575311464	6.36395531949409	6.07083380088268	6.31829805869703	6.15014284340013	6.43601057372556	6.45881613408087	6.15857953350057	5.95180960059581	6.02858816631273	6.08510190172263	6.17204589378352
TRINITY_DN5454_c0_g1_i1	6.00372999102034	5.98687726897016	5.82359303705714	5.95527349064982	6.01075425142848	6.11073201286507	5.94067365759841	5.94238056369617	5.79654902584635	5.96389191773147	5.86578138324362	5.94112942809315	5.75223031693633	6.06689505152131	6.12060121948222	5.8216855198562	5.77829541518357	6.11023171698049	5.77358543750343	5.89138344299282	6.01398684886125	5.79509811756212	6.08510190172263	6.03049437239402
TRINITY_DN5472_c0_g1_i1	4.59681866674123	4.49132740754803	4.47761319456976	4.63388226640163	4.70378891251495	4.79411286557394	4.15673909997839	4.48220832667526	4.60907766045292	4.62223838733948	4.61474191946321	4.47282719887076	5.20669758536588	5.05994250386311	5.15009432738545	4.90522228339331	4.9519217433933	4.97196414249286	4.92485269979827	4.66472294581695	4.81377242261489	5.15568029304551	4.6985121813651	4.84925696963497
TRINITY_DN5467_c0_g1_i1	5.37021477264982	5.56220557838711	5.40370332004829	5.25419334438466	5.42550933676326	5.47363815276269	5.58306150413627	5.16735668669931	5.57116300917052	5.31715407954603	5.61877848789269	5.67000941404102	5.45147095324966	5.57148455110975	5.08814224387466	5.38578068002184	5.3110514787279	5.63652980516602	5.17802777270147	5.37129249297378	5.48852066682138	5.31988277163682	5.084568442971	5.58134674073342
TRINITY_DN5457_c0_g1_i1	4.46852313241284	4.62886993857002	4.15673909997839	4.49489544623877	4.70378891251495	4.60924746707982	4.70190845229339	4.61605643925843	4.70962095307909	4.72564016399346	4.61474191946321	4.60287010187945	4.15673909997839	4.64510950713249	4.8659424630774	4.82767369135178	4.72252987629597	4.82526148493998	4.64594778927738	4.15673909997839	4.15673909997839	4.51608618321539	4.54094909999477	4.50548222512479
